Cacophonous - কর্কশ, বেসুরো
Conflagration - বৃহৎ অগ্নিকাণ্ড, ধ্বংসাত্মক আগুন
Confound - বিভ্রান্ত করা, হতবুদ্ধি করা
Congenial - সদ্ভাবাপন্ন, সদৃশ
Conjectural - অনুমানমূলক, কল্পনাপ্রসূত
Connoisseur - রসজ্ঞ, বিশেষজ্ঞ
Consensus - ঐক্যমত্য, অভিন্ন মত
Conspicuous - স্পষ্ট, লক্ষণীয়
Conspire - ষড়যন্ত্র করা, চক্রান্ত করা
Construe - ব্যাখ্যা করা, অনুবাদ করা
Contemplate - গভীরভাবে চিন্তা করা, ধ্যান করা
Contemporary - সমকালীন, সমসাময়িক
Contempt - ঘৃণা, অবজ্ঞা
Contend - প্রতিযোগিতা করা, তর্ক করা
Content - সন্তুষ্ট, তুষ্ট
Contentious - বিতর্কমূলক, বিবাদী
Contravene - লঙ্ঘন করা, বিরুদ্ধাচরণ করা
Contretemps - বিপত্তি, বিব্রতকর ঘটনা
Contrite - অনুতপ্ত, অনুশোচনাপূর্ণ
Conundrum - ধাঁধা, জটিল সমস্যা
Convalescent - আরোগ্যপ্রাপ্ত, পুনরুদ্ধারকারী
Conventional - প্রচলিত, প্রথাগত
Conviction - দৃঢ় বিশ্বাস, দোষসিদ্ধি
Convivial - আমুদে, বন্ধুসুলভ
Convoluted - জটিল, ঘোলাটে
Copious - প্রচুর, প্রাচুর্যপূর্ণ
Cordial - আন্তরিক, বন্ধুত্বপূর্ণ
Corporeal - শারীরিক, দেহগত
Correlate - সম্পর্ক স্থাপন করা, সম্বন্ধযুক্ত
Corroborate - নিশ্চিত করা, সমর্থন করা
Cosmopolitan - বিশ্বজনীন, আন্তর্জাতিক
Countenance - মুখাবয়ব, মেনে নেওয়া
Counterfeit - নকল, জাল
Covert - গোপন, গুপ্ত
Covet - লোভ করা, আকাঙ্ক্ষা করা
Coy - লাজুক, ইতস্তত
Crafty - ধূর্ত, কৌশলী
Craven - কাপুরুষ, ভীতু
Credible - বিশ্বাসযোগ্য, নির্ভরযোগ্য
Crescendo - ক্রমান্বয়ে উচ্চতর হওয়া, তীব্রতা বৃদ্ধি
Crestfallen - হতাশ, মলিন
Croon - সুরেলা গলা, মৃদু গান করা
Cumbersome - ভারী, বোঝা
Cunning - চতুর, ধূর্ত
Curb - নিয়ন্ত্রণ করা, সংযম
Curmudgeon - খিটখিটে লোক, রুক্ষ ব্যক্তি
Cursory - ভাসা-ভাসা, তাড়াহুড়ো করে করা
Curtail - সংকুচিত করা, সংক্ষিপ্ত করা
